Startup Name,Industry,Business Description,Company Website,Number of Presenters,Pitchers Average Age,Started in,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Deal Valuation,Has Patents
Devnagri,Technology/Software,Translation of language content,https://devnagri.com/,2,Middle,2020,Delhi,500,,,,100,1,10000,1,0,,,,,
WitBlox,Manufacturing,Kids playing equipment,https://witblox.com/,2,Middle,2020,Maharashtra,,,,,60,3,2000,1,1,60,10,,600,
Kineer,Food,Packaged drinking water,https://www.kineerblessed.com/,2,Middle,2018,,,2,,,100,10,1000,0,,,,,,
PiChem,Manufacturing,Chemical products,http://www.pichem.in/,1,Young,2021,Uttar Pradesh,,1.77,50,,40,5,800,0,,,,,,
Clensta,Beauty/Fashion,Waterless bathing technology products,https://clensta.com/,1,Middle,2017,Delhi,,150,,,100,1,10000,0,,,,,,
InfinitiInsects,Animal/Pets,Live insect feed for pets,https://infiniti-insects.business.site/,2,Middle,2016,,,0.5,,,25,10,250,0,,,,,,
AshwaPro,Services,Outdoor cycling gym,https://ashwa.pro/,1,Middle,,Rajasthan,,,,,50,10,500,0,,,,,,
Mine4Nine,Beauty/Fashion,Trendy maternity dresses,https://mine4nine.in/,2,Middle,2019,Haryana,260,,,,75,4,1875,0,,,,,,
StudioBeej,Beauty/Fashion,Sustainable leather accessories,https://studiobeej.com/,1,Middle,2020,,112,,,,75,7.5,1000,0,,,,,,
Sattuz,Liquor/Beverages,Foods Beverages super food,https://sattuz.in/,2,Middle,2018,Bihar,25,,,,25,5,500,0,,,,,,
Scintiglo,Medical/Health,Diagnostic device for microalbuminuria estimation,https://cemd.in/,1,Middle,2021,Madhya Pradesh,0,,,,75,1,7500,1,0,,,,,
Glii,Services,Dating app for LGBTQ,https://www.glii.in/,4,Middle,2021,,,,,,40,4,1000,0,,,,,,
StanleeIndia,Electronics,Televisions,https://www.stanleeindia.com/,3,Middle,2019,Delhi,,,,,60,3,2000,0,,,,,,
SpaceKidzIndia,Manufacturing,Small Satellites by kids,https://www.spacekidzindia.in/,2,Middle,,Tamil Nadu,,,,,100,2,5000,0,,,,,,
UrbanNaps,Services,Smart Napping Pod,https://urbannaps.com/,2,Young,2018,Gujarat,,,,,50,4,1250,1,0,,,,,
Gizmoswala,Entertainment,Sex toys and games,https://www.gizmoswala.com/,3,Middle,2020,,,7,40,,75,5,1500,0,,,,,,
ZyppElectric,Vehicles/Electrical Vehicles,Electrical Vehicles,https://zypp.app/,2,Young,,Haryana,-1,,,,220,1,22000,0,,,,,,
Picsniff,Technology/Software,Face recognition based image sharing,https://algomage.com/algoshare,1,Young,,,,,,,55,1,5500,1,0,,,,,
Deciwood,Electronics,Portable wooden Bluetooth speakers,https://deciwood.com/,2,Young,2019,,,,,,50,3.5,1429,0,,,,,,
HappyBar,Food,FitSport delicious snacks,https://www.fitsport.me/,3,Middle,2019,Telangana,-1,29,,,60,2,3000,0,,,,,,
Tathastulive,Services,"Offer Daan, Puja and Yajna",https://www.temple.biz/,3,Middle,2020,Gujarat,,,,,50,10,500,0,,,,,,
BandsandCups,Beauty/Fashion,Bra fitting service,https://www.bandsandcups.com/,1,Middle,2021,Tamil Nadu,,1,60,,40,10,400,0,,,,,,
MyWealthProtector,Services,Beyond Life Service,https://mywealthprotector.com/,2,Middle,,Maharashtra,,2,,,50,2.5,2000,0,,,,,,
TheIris,Manufacturing,Pocket Microscopes,,2,Young,,,,,,,10,15,67,0,,,,,,
Canebot,Food,Juice making machine,,2,Middle,,Maharashtra,200,,,,100,2.5,4000,0,,,,,,
OyeDelhiOye,Food,Delhi Ke Chole Kulche,,2,Middle,2021,Delhi,,,,,35,10,350,0,,,,,,
InaliAssistiveTech,Medical/Health,Prosthetics,https://inalifoundation.com/,2,Young,,Maharashtra,,,,,50,5,1000,0,,,,,,
Meera'sCelebrations,Services,Wedding ceremonial items,https://www.facebook.com/meeracelebrations/,2,Middle,,Punjab,,,,,50,25,200,0,,,,,,
Artment,Beauty/Fashion,Exquisite pieces of home decor,https://theartment.com/,2,Young,2019,,,100,,,170,2.5,6800,1,0,,,,,
Powertree,Manufacturing,Beautiful efficient solar panels,https://powertree.co.in/,2,Middle,,Gujarat,,,,,150,2.5,6000,0,,,,,,
Eume,Beauty/Fashion,Massager Backpack,https://eumeworld.com/,3,Middle,2018,Maharashtra,1200,,,,150,2,7500,1,0,,,,,
Hoovu,Services,Fresh Pooja flowers,https://hoovufresh.com/,2,Young,,Karnataka,,65,,,80,1,8000,1,1,100,2,,5000,
Dorji,Food,Flavors of Tea,https://dorjeteas.com/,2,Young,,West Bengal,,11,,,30,5,600,1,1,30,15,,200,
Recode,Beauty/Fashion,Beauty & cosmetics,https://shop.recodestudios.com/,2,Middle,,Punjab,,,,,100,1,10000,0,,,,,,
VeryMuchIndian,Beauty/Fashion,Paithani Handloom Sarees,https://www.verymuchindian.com/,2,Middle,2018,Maharashtra,150,,35,,50,3,1667,1,1,50,10,,500,
WatchoutWearables,Electronics,Smart watches,https://www.watchoutwearables.com/,2,Young,2021,,,25,,,200,5,4000,1,1,100,10,100,1000,
